
============================================================
  CHUNK 1/309
  224 fichiers, 2.05 GB
  [193/224] updated_date=2025-07-29\part_0000.gz: 4,461 papers, 33 arXiv (3287 p/s)
  [194/224] updated_date=2025-07-30\part_0000.gz: 2,682 papers, 16 arXiv (2919 p/s)
  [195/224] updated_date=2025-07-31\part_0000.gz: 1,925 papers, 31 arXiv (2348 p/s)
  [196/224] updated_date=2025-08-04\part_0000.gz: 1 papers, 0 arXiv (122 p/s)
  [197/224] updated_date=2025-08-15\part_0000.gz: 1 papers, 0 arXiv (139 p/s)
  [198/224] updated_date=2025-08-18\part_0000.gz: 141 papers, 0 arXiv (3351 p/s)
  [199/224] updated_date=2025-08-27\part_0000.gz: 1 papers, 0 arXiv (129 p/s)
  [200/224] updated_date=2025-08-28\part_0000.gz: 3 papers, 0 arXiv (374 p/s)
  [201/224] updated_date=2025-08-29\part_0000.gz: 1 papers, 0 arXiv (122 p/s)
  [202/224] updated_date=2025-09-03\part_0000.gz: 1 papers, 0 arXiv (153 p/s)
  [203/224] updated_date=2025-09-08\part_0000.gz: 1 papers, 0 arXiv (156 p/s)
  [204/224] updated_date=2025-09-09\part_0000.gz: 1 papers, 0 arXiv (161 p/s)
  [205/224] updated_date=2025-09-23\part_0000.gz: 3 papers, 3 arXiv (435 p/s)
  [206/224] updated_date=2025-09-24\part_0000.gz: 4 papers, 2 arXiv (438 p/s)
  [207/224] updated_date=2025-09-25\part_0000.gz: 3 papers, 1 arXiv (397 p/s)
  [208/224] updated_date=2025-09-26\part_0000.gz: 4 papers, 0 arXiv (98 p/s)
  [209/224] updated_date=2025-09-27\part_0000.gz: 3 papers, 2 arXiv (108 p/s)
  [210/224] updated_date=2025-09-28\part_0000.gz: 2 papers, 1 arXiv (195 p/s)
  [211/224] updated_date=2025-09-29\part_0000.gz: 4 papers, 4 arXiv (471 p/s)
  [212/224] updated_date=2025-09-30\part_0000.gz: 2 papers, 1 arXiv (279 p/s)
  [213/224] updated_date=2025-10-01\part_0000.gz: 7 papers, 5 arXiv (706 p/s)
  [214/224] updated_date=2025-10-02\part_0000.gz: 10 papers, 4 arXiv (1162 p/s)
  [215/224] updated_date=2025-10-03\part_0000.gz: 1 papers, 1 arXiv (157 p/s)
  [216/224] updated_date=2025-10-04\part_0000.gz: 2 papers, 2 arXiv (317 p/s)
  [217/224] updated_date=2025-10-05\part_0000.gz: 2 papers, 2 arXiv (288 p/s)
  [218/224] updated_date=2025-10-06\part_0000.gz: 4 papers, 2 arXiv (507 p/s)
  [219/224] updated_date=2025-10-07\part_0000.gz: 4 papers, 1 arXiv (615 p/s)
  [220/224] updated_date=2025-10-08\part_0000.gz: 7 papers, 4 arXiv (890 p/s)
  [221/224] updated_date=2025-10-09\part_0000.gz: 52 papers, 11 arXiv (1057 p/s)
  [222/224] updated_date=2025-10-10\part_0000.gz: 300,671 papers, 528 arXiv (6536 p/s)
  [223/224] updated_date=2025-10-10\part_0001.gz: 300,659 papers, 507 arXiv (6536 p/s)
  [224/224] updated_date=2025-10-10\part_0002.gz: 300,586 papers, 462 arXiv (6605 p/s)

  Chunk 1 terminé: 1,594,891 papers, 1,933 arXiv (254s, 6286 p/s)
  Progression: 1/309 (0%)
  arXiv trouvés: 1,933

============================================================
  CHUNK 2/309
  7 fichiers, 2.27 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0003.gz: 300,992 papers, 515 arXiv (6872 p/s)
  [2/7] updated_date=2025-10-10\part_0004.gz: 301,466 papers, 495 arXiv (6030 p/s)
  [3/7] updated_date=2025-10-10\part_0005.gz: 301,322 papers, 494 arXiv (6055 p/s)
  [4/7] updated_date=2025-10-10\part_0006.gz: 301,518 papers, 488 arXiv (6514 p/s)
  [5/7] updated_date=2025-10-10\part_0007.gz: 300,500 papers, 501 arXiv (7437 p/s)
  [6/7] updated_date=2025-10-10\part_0008.gz: 301,261 papers, 490 arXiv (7183 p/s)
  [7/7] updated_date=2025-10-10\part_0009.gz: 300,682 papers, 481 arXiv (7739 p/s)

  Chunk 2 terminé: 2,107,741 papers, 3,464 arXiv (311s, 6776 p/s)
  Progression: 2/309 (1%)
  arXiv trouvés: 5,397

============================================================
  CHUNK 3/309
  7 fichiers, 2.26 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0010.gz: 300,778 papers, 491 arXiv (7223 p/s)
  [2/7] updated_date=2025-10-10\part_0011.gz: 300,512 papers, 475 arXiv (7351 p/s)
  [3/7] updated_date=2025-10-10\part_0012.gz: 300,122 papers, 477 arXiv (7313 p/s)
  [4/7] updated_date=2025-10-10\part_0013.gz: 300,019 papers, 481 arXiv (7279 p/s)
  [5/7] updated_date=2025-10-10\part_0014.gz: 301,758 papers, 506 arXiv (7388 p/s)
  [6/7] updated_date=2025-10-10\part_0015.gz: 300,794 papers, 467 arXiv (7353 p/s)
  [7/7] updated_date=2025-10-10\part_0016.gz: 299,475 papers, 486 arXiv (8390 p/s)

  Chunk 3 terminé: 2,103,458 papers, 3,383 arXiv (282s, 7453 p/s)
  Progression: 3/309 (1%)
  arXiv trouvés: 8,780

============================================================
  CHUNK 4/309
  7 fichiers, 2.26 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0017.gz: 301,221 papers, 506 arXiv (8500 p/s)
  [2/7] updated_date=2025-10-10\part_0018.gz: 300,806 papers, 449 arXiv (8425 p/s)
  [3/7] updated_date=2025-10-10\part_0019.gz: 301,835 papers, 498 arXiv (8546 p/s)
  [4/7] updated_date=2025-10-10\part_0020.gz: 300,455 papers, 476 arXiv (8531 p/s)
  [5/7] updated_date=2025-10-10\part_0021.gz: 300,334 papers, 524 arXiv (8589 p/s)
  [6/7] updated_date=2025-10-10\part_0022.gz: 300,957 papers, 522 arXiv (8332 p/s)
  [7/7] updated_date=2025-10-10\part_0023.gz: 301,181 papers, 493 arXiv (8564 p/s)

  Chunk 4 terminé: 2,106,789 papers, 3,468 arXiv (248s, 8497 p/s)
  Progression: 4/309 (1%)
  arXiv trouvés: 12,248

============================================================
  CHUNK 5/309
  7 fichiers, 2.27 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0024.gz: 301,470 papers, 487 arXiv (8530 p/s)
  [2/7] updated_date=2025-10-10\part_0025.gz: 301,634 papers, 518 arXiv (8385 p/s)
  [3/7] updated_date=2025-10-10\part_0026.gz: 300,519 papers, 496 arXiv (8529 p/s)
  [4/7] updated_date=2025-10-10\part_0027.gz: 301,480 papers, 498 arXiv (8576 p/s)
  [5/7] updated_date=2025-10-10\part_0028.gz: 301,192 papers, 515 arXiv (7766 p/s)
  [6/7] updated_date=2025-10-10\part_0029.gz: 301,360 papers, 498 arXiv (7741 p/s)
  [7/7] updated_date=2025-10-10\part_0030.gz: 300,883 papers, 484 arXiv (8508 p/s)

  Chunk 5 terminé: 2,108,538 papers, 3,496 arXiv (255s, 8276 p/s)
  Progression: 5/309 (2%)
  arXiv trouvés: 15,744

============================================================
  CHUNK 6/309
  7 fichiers, 2.26 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0031.gz: 300,365 papers, 452 arXiv (7280 p/s)
  [2/7] updated_date=2025-10-10\part_0032.gz: 301,634 papers, 500 arXiv (7303 p/s)
  [3/7] updated_date=2025-10-10\part_0033.gz: 300,763 papers, 522 arXiv (7397 p/s)
  [4/7] updated_date=2025-10-10\part_0034.gz: 300,163 papers, 481 arXiv (7285 p/s)
  [5/7] updated_date=2025-10-10\part_0035.gz: 301,191 papers, 518 arXiv (7227 p/s)
  [6/7] updated_date=2025-10-10\part_0036.gz: 300,887 papers, 447 arXiv (7430 p/s)
  [7/7] updated_date=2025-10-10\part_0037.gz: 300,463 papers, 502 arXiv (8530 p/s)

  Chunk 6 terminé: 2,105,466 papers, 3,422 arXiv (282s, 7471 p/s)
  Progression: 6/309 (2%)
  arXiv trouvés: 19,166

============================================================
  CHUNK 7/309
  7 fichiers, 2.26 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0038.gz: 301,398 papers, 508 arXiv (8119 p/s)
  [2/7] updated_date=2025-10-10\part_0039.gz: 299,283 papers, 502 arXiv (7604 p/s)
  [3/7] updated_date=2025-10-10\part_0040.gz: 301,076 papers, 500 arXiv (7521 p/s)
  [4/7] updated_date=2025-10-10\part_0041.gz: 301,394 papers, 486 arXiv (8310 p/s)
  [5/7] updated_date=2025-10-10\part_0042.gz: 301,250 papers, 503 arXiv (8465 p/s)
  [6/7] updated_date=2025-10-10\part_0043.gz: 300,271 papers, 484 arXiv (8617 p/s)
  [7/7] updated_date=2025-10-10\part_0044.gz: 301,344 papers, 515 arXiv (8576 p/s)

  Chunk 7 terminé: 2,106,016 papers, 3,498 arXiv (258s, 8152 p/s)
  Progression: 7/309 (2%)
  arXiv trouvés: 22,664

============================================================
  CHUNK 8/309
  7 fichiers, 2.27 GB
============================================================
  [1/7] updated_date=2025-10-10\part_0045.gz: 300,896 papers, 490 arXiv (8454 p/s)
  [2/7] updated_date=2025-10-10\part_0046.gz: 301,007 papers, 489 arXiv (7411 p/s)
  [3/7] updated_date=2025-10-10\part_0047.gz: 300,745 papers, 459 arXiv (7172 p/s)
  [4/7] updated_date=2025-10-10\part_0048.gz: 301,133 papers, 481 arXiv (7127 p/s)
  [5/7] updated_date=2025-10-10\part_0049.gz: 299,546 papers, 466 arXiv (7235 p/s)
  [6/7] updated_date=2025-10-10\part_0050.gz: 300,046 papers, 509 arXiv (7193 p/s)
  [7/7] updated_date=2025-10-10\part_0051.gz: 301,901 papers, 493 arXiv (8252 p/s)

