[01:21:38] ============================================================
[01:21:38] IMPACT SCANNER — Building impact tables
[01:21:38]   WT3:      D:\ygg\yggdrasil-engine\data\wt3.db (81.9 GB)
[01:21:38]   Spectral: spectral_births.json
[01:21:38]   Output:   D:\ygg\yggdrasil-engine\data\impact.db
[01:21:38] ============================================================
[01:21:38] Loading spectral positions from spectral_births.json...
[01:21:38]   Loaded 65,026 nodes (65,026 concepts, 1,316 glyphs)
[01:21:39] Total papers in WT3: 833,030 | Already done: 0 | Remaining: 833,030 | Cursor at rowid 0
[01:27:14]   Batch 105: 530,000/833,030 (63.6%) | 1581 papers/s | ETA 3.2min
[01:27:20]   Batch 106: 535,000/833,030 (64.2%) | 1569 papers/s | ETA 3.2min
[01:27:26]   Batch 107: 540,000/833,030 (64.8%) | 1554 papers/s | ETA 3.1min
[01:27:33]   Batch 108: 545,000/833,030 (65.4%) | 1538 papers/s | ETA 3.1min
[01:27:39]   Batch 109: 550,000/833,030 (66.0%) | 1527 papers/s | ETA 3.1min
[01:27:45]   Batch 110: 555,000/833,030 (66.6%) | 1515 papers/s | ETA 3.1min
[01:27:51]   Batch 111: 560,000/833,030 (67.2%) | 1505 papers/s | ETA 3.0min
[01:27:57]   Batch 112: 565,000/833,030 (67.8%) | 1493 papers/s | ETA 3.0min
[01:28:03]   Batch 113: 570,000/833,030 (68.4%) | 1483 papers/s | ETA 3.0min
[01:28:08]   Batch 114: 575,000/833,030 (69.0%) | 1477 papers/s | ETA 2.9min
[01:28:13]   Batch 115: 580,000/833,030 (69.6%) | 1470 papers/s | ETA 2.9min
[01:28:19]   Batch 116: 585,000/833,030 (70.2%) | 1461 papers/s | ETA 2.8min
[01:28:24]   Batch 117: 590,000/833,030 (70.8%) | 1455 papers/s | ETA 2.8min
[01:28:30]   Batch 118: 595,000/833,030 (71.4%) | 1447 papers/s | ETA 2.7min
[01:28:35]   Batch 119: 600,000/833,030 (72.0%) | 1443 papers/s | ETA 2.7min
[01:28:40]   Batch 120: 605,000/833,030 (72.6%) | 1435 papers/s | ETA 2.6min
[01:28:46]   Batch 121: 610,000/833,030 (73.2%) | 1428 papers/s | ETA 2.6min
[01:28:52]   Batch 122: 615,000/833,030 (73.8%) | 1420 papers/s | ETA 2.6min
[01:28:58]   Batch 123: 620,000/833,030 (74.4%) | 1413 papers/s | ETA 2.5min
[01:29:03]   Batch 124: 625,000/833,030 (75.0%) | 1407 papers/s | ETA 2.5min
[01:29:09]   Batch 125: 630,000/833,030 (75.6%) | 1401 papers/s | ETA 2.4min
[01:29:14]   Batch 126: 635,000/833,030 (76.2%) | 1395 papers/s | ETA 2.4min
[01:29:20]   Batch 127: 640,000/833,030 (76.8%) | 1389 papers/s | ETA 2.3min
[01:29:25]   Batch 128: 645,000/833,030 (77.4%) | 1383 papers/s | ETA 2.3min
[01:29:31]   Batch 129: 650,000/833,030 (78.0%) | 1377 papers/s | ETA 2.2min
